"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2019","Total","Female","29","Data tabulated by year of occurrence","Final figure, complete","2021","1719",""
"United States of America","2019","Total","Female","30","Data tabulated by year of occurrence","Final figure, complete","2021","1882",""
"United States of America","2019","Total","Female","30 - 34","Data tabulated by year of occurrence","Final figure, complete","2021","10300",""
"United States of America","2019","Total","Female","31","Data tabulated by year of occurrence","Final figure, complete","2021","1943",""
"United States of America","2019","Total","Female","32","Data tabulated by year of occurrence","Final figure, complete","2021","1994",""
"United States of America","2019","Total","Female","33","Data tabulated by year of occurrence","Final figure, complete","2021","2273",""
"United States of America","2019","Total","Female","34","Data tabulated by year of occurrence","Final figure, complete","2021","2208",""
"United States of America","2019","Total","Female","35","Data tabulated by year of occurrence","Final figure, complete","2021","2327",""
"United States of America","2019","Total","Female","35 - 39","Data tabulated by year of occurrence","Final figure, complete","2021","13397",""
"United States of America","2019","Total","Female","36","Data tabulated by year of occurrence","Final figure, complete","2021","2472",""
"United States of America","2019","Total","Female","37","Data tabulated by year of occurrence","Final figure, complete","2021","2626",""
"United States of America","2019","Total","Female","38","Data tabulated by year of occurrence","Final figure, complete","2021","2896",""
"United States of America","2019","Total","Female","39","Data tabulated by year of occurrence","Final figure, complete","2021","3076",""
"United States of America","2019","Total","Female","40","Data tabulated by year of occurrence","Final figure, complete","2021","3011",""
"United States of America","2019","Total","Female","40 - 44","Data tabulated by year of occurrence","Final figure, complete","2021","16153",""
"United States of America","2019","Total","Female","41","Data tabulated by year of occurrence","Final figure, complete","2021","3071",""
"United States of America","2019","Total","Female","42","Data tabulated by year of occurrence","Final figure, complete","2021","3136",""
"United States of America","2019","Total","Female","43","Data tabulated by year of occurrence","Final figure, complete","2021","3370",""
"United States of America","2019","Total","Female","44","Data tabulated by year of occurrence","Final figure, complete","2021","3565",""
"United States of America","2019","Total","Female","45","Data tabulated by year of occurrence","Final figure, complete","2021","3861",""
"United States of America","2019","Total","Female","45 - 49","Data tabulated by year of occurrence","Final figure, complete","2021","24381",""
"United States of America","2019","Total","Female","46","Data tabulated by year of occurrence","Final figure, complete","2021","4261",""
"United States of America","2019","Total","Female","47","Data tabulated by year of occurrence","Final figure, complete","2021","4786",""
"United States of America","2019","Total","Female","48","Data tabulated by year of occurrence","Final figure, complete","2021","5542",""
"United States of America","2019","Total","Female","49","Data tabulated by year of occurrence","Final figure, complete","2021","5931",""
"United States of America","2019","Total","Female","50","Data tabulated by year of occurrence","Final figure, complete","2021","6211",""
"United States of America","2019","Total","Female","50 - 54","Data tabulated by year of occurrence","Final figure, complete","2021","37165",""
"United States of America","2019","Total","Female","51","Data tabulated by year of occurrence","Final figure, complete","2021","6545",""
"United States of America","2019","Total","Female","52","Data tabulated by year of occurrence","Final figure, complete","2021","7183",""
"United States of America","2019","Total","Female","53","Data tabulated by year of occurrence","Final figure, complete","2021","8043",""
"United States of America","2019","Total","Female","54","Data tabulated by year of occurrence","Final figure, complete","2021","9183",""
"United States of America","2019","Total","Female","55","Data tabulated by year of occurrence","Final figure, complete","2021","10259",""
"United States of America","2019","Total","Female","55 - 59","Data tabulated by year of occurrence","Final figure, complete","2021","61398",""
"United States of America","2019","Total","Female","56","Data tabulated by year of occurrence","Final figure, complete","2021","11173",""
"United States of America","2019","Total","Female","57","Data tabulated by year of occurrence","Final figure, complete","2021","12317",""
"United States of America","2019","Total","Female","58","Data tabulated by year of occurrence","Final figure, complete","2021","13439",""
"United States of America","2019","Total","Female","59","Data tabulated by year of occurrence","Final figure, complete","2021","14210",""
"United States of America","2019","Total","Female","60","Data tabulated by year of occurrence","Final figure, complete","2021","15391",""
"United States of America","2019","Total","Female","60 - 64","Data tabulated by year of occurrence","Final figure, complete","2021","85614",""
"United States of America","2019","Total","Female","61","Data tabulated by year of occurrence","Final figure, complete","2021","16341",""
"United States of America","2019","Total","Female","62","Data tabulated by year of occurrence","Final figure, complete","2021","17321",""
"United States of America","2019","Total","Female","63","Data tabulated by year of occurrence","Final figure, complete","2021","17837",""
"United States of America","2019","Total","Female","64","Data tabulated by year of occurrence","Final figure, complete","2021","18724",""
"United States of America","2019","Total","Female","65","Data tabulated by year of occurrence","Final figure, complete","2021","19046",""
"United States of America","2019","Total","Female","65 - 69","Data tabulated by year of occurrence","Final figure, complete","2021","103474",""
"United States of America","2019","Total","Female","66","Data tabulated by year of occurrence","Final figure, complete","2021","19793",""
"United States of America","2019","Total","Female","67","Data tabulated by year of occurrence","Final figure, complete","2021","20479",""
"United States of America","2019","Total","Female","68","Data tabulated by year of occurrence","Final figure, complete","2021","21517",""
"United States of America","2019","Total","Female","69","Data tabulated by year of occurrence","Final figure, complete","2021","22639",""
"United States of America","2019","Total","Female","70","Data tabulated by year of occurrence","Final figure, complete","2021","24422",""
"United States of America","2019","Total","Female","70 - 74","Data tabulated by year of occurrence","Final figure, complete","2021","131838",""
"United States of America","2019","Total","Female","71","Data tabulated by year of occurrence","Final figure, complete","2021","26607",""
"United States of America","2019","Total","Female","72","Data tabulated by year of occurrence","Final figure, complete","2021","29424",""
"United States of America","2019","Total","Female","73","Data tabulated by year of occurrence","Final figure, complete","2021","25287",""
"United States of America","2019","Total","Female","74","Data tabulated by year of occurrence","Final figure, complete","2021","26098",""
"United States of America","2019","Total","Female","75","Data tabulated by year of occurrence","Final figure, complete","2021","28571",""
"United States of America","2019","Total","Female","75 - 79","Data tabulated by year of occurrence","Final figure, complete","2021","152997",""
"United States of America","2019","Total","Female","76","Data tabulated by year of occurrence","Final figure, complete","2021","31604",""
"United States of America","2019","Total","Female","77","Data tabulated by year of occurrence","Final figure, complete","2021","30493",""
"United States of America","2019","Total","Female","78","Data tabulated by year of occurrence","Final figure, complete","2021","30611",""
"United States of America","2019","Total","Female","79","Data tabulated by year of occurrence","Final figure, complete","2021","31718",""
"United States of America","2019","Total","Female","80","Data tabulated by year of occurrence","Final figure, complete","2021","33085",""
"United States of America","2019","Total","Female","80 - 84","Data tabulated by year of occurrence","Final figure, complete","2021","179930",""
"United States of America","2019","Total","Female","81","Data tabulated by year of occurrence","Final figure, complete","2021","34649",""
"United States of America","2019","Total","Female","82","Data tabulated by year of occurrence","Final figure, complete","2021","35705",""
"United States of America","2019","Total","Female","83","Data tabulated by year of occurrence","Final figure, complete","2021","37703",""
"United States of America","2019","Total","Female","84","Data tabulated by year of occurrence","Final figure, complete","2021","38788",""
"United States of America","2019","Total","Female","85","Data tabulated by year of occurrence","Final figure, complete","2021","38617",""
"United States of America","2019","Total","Female","85 - 89","Data tabulated by year of occurrence","Final figure, complete","2021","209036",""
"United States of America","2019","Total","Female","86","Data tabulated by year of occurrence","Final figure, complete","2021","40701",""
"United States of America","2019","Total","Female","87","Data tabulated by year of occurrence","Final figure, complete","2021","42209",""
"United States of America","2019","Total","Female","88","Data tabulated by year of occurrence","Final figure, complete","2021","43076",""
"United States of America","2019","Total","Female","89","Data tabulated by year of occurrence","Final figure, complete","2021","44433",""
"United States of America","2019","Total","Female","90","Data tabulated by year of occurrence","Final figure, complete","2021","43295",""
"United States of America","2019","Total","Female","90 - 94","Data tabulated by year of occurrence","Final figure, complete","2021","198208",""
"United States of America","2019","Total","Female","91","Data tabulated by year of occurrence","Final figure, complete","2021","42575",""
"United States of America","2019","Total","Female","92","Data tabulated by year of occurrence","Final figure, complete","2021","40611",""
"United States of America","2019","Total","Female","93","Data tabulated by year of occurrence","Final figure, complete","2021","37326",""
"United States of America","2019","Total","Female","94","Data tabulated by year of occurrence","Final figure, complete","2021","34401",""
"United States of America","2019","Total","Female","95","Data tabulated by year of occurrence","Final figure, complete","2021","29725",""
"United States of America","2019","Total","Female","95 - 99","Data tabulated by year of occurrence","Final figure, complete","2021","103562",""
"United States of America","2019","Total","Female","96","Data tabulated by year of occurrence","Final figure, complete","2021","25132",""
"United States of America","2019","Total","Female","97","Data tabulated by year of occurrence","Final figure, complete","2021","20719",""
"United States of America","2019","Total","Female","98","Data tabulated by year of occurrence","Final figure, complete","2021","16217",""
"United States of America","2019","Total","Female","99","Data tabulated by year of occurrence","Final figure, complete","2021","11769",""
"United States of America","2019","Total","Female","100 +","Data tabulated by year of occurrence","Final figure, complete","2021","24775",""
"United States of America","2019","Total","Female","Unknown","Data tabulated by year of occurrence","Final figure, complete","2021","44",""

